№;Team;M;W;D;L;G;GA;PTS
1;Arsenal;13;8;2;3;28;11;26
2;Manchester City;12;8;1;3;27;15;25
3;Liverpool;13;7;4;2;26;14;25
4;Manchester United;13;7;1;5;17;16;22
5;Aston Villa;13;6;3;4;21;20;21
6;Tottenham;12;5;5;2;26;20;20
7;Wolverhampton Wanderers;13;5;2;6;20;20;17
8;Chelsea;13;5;2;6;22;23;17
9;Everton;12;5;2;5;13;18;17
10;West Ham;13;5;2;6;18;27;17
11;Brighton;13;4;3;6;22;25;15
12;Bournemouth;13;4;3;6;21;29;15
13;Crystal Palace;13;3;4;6;13;25;13
14;Newcastle United;12;3;2;7;22;25;11
15;Brentford;12;3;1;8;13;17;10
16;Nottingham Forest;12;2;3;7;13;24;9
17;Luton;12;2;3;7;16;29;9
18;Burnley;12;2;2;8;12;23;8
19;Fulham;12;1;4;7;11;26;7
20;Sheffield United;12;1;2;9;10;29;5
