,date,league,local_team,visit_team,home_win,visitor_win,tie,exp_goals,exp_goals_prob,total_goals,home_goals,visitor_goals
0,04-19,Serie A,Genoa,Lazio,0.3062,0.4469,0.2467,+1.5,0.7777,2.85,1.27,1.58
1,04-19,Serie A,Cagliari,Juventus,0.1631,0.6213,0.2147,+1.5,0.769,2.8,0.87,1.93
2,04-19,Bundesliga,Eintracht Frankfurt,Augsburg,0.506,0.2415,0.2523,+1.5,0.7288,2.58,1.58,1.0
3,04-19,La Liga,Athletic Club,Granada,0.8632,0.0326,0.0721,+2.5,0.8012,4.29,3.63,0.66
4,04-19,Ligue 1,Nice,Lorient,0.6192,0.1379,0.2426,+1.5,0.655,2.24,1.62,0.61
5,04-20,Bundesliga,Wolfsburg,Bochum,0.6533,0.1478,0.1973,+1.5,0.8013,3.0,2.11,0.89
6,04-20,Bundesliga,Hoffenheim,Borussia M.Gladbach,0.349,0.4468,0.2013,+2.5,0.7838,4.16,1.95,2.21
7,04-20,Bundesliga,FC Cologne,Darmstadt,0.3723,0.3475,0.2802,+1.5,0.6799,2.35,1.2,1.15
8,04-20,Bundesliga,FC Heidenheim,RasenBallsport Leipzig,0.2229,0.5901,0.1816,+2.5,0.7853,4.17,1.58,2.59
9,04-20,Bundesliga,Union Berlin,Bayern Munich,0.1627,0.6535,0.1802,+2.5,0.6921,3.57,1.14,2.43
10,04-20,La Liga,Celta Vigo,Las Palmas,0.2569,0.3643,0.3788,+0.5,0.7561,1.41,0.62,0.8
11,04-20,La Liga,Rayo Vallecano,Osasuna,0.2193,0.5332,0.2472,+1.5,0.7282,2.58,0.95,1.63
12,04-20,La Liga,Valencia,Real Betis,0.5677,0.136,0.2962,+0.5,0.8249,1.74,1.27,0.47
13,04-20,La Liga,Girona,Cadiz,0.8411,0.0398,0.1126,+1.5,0.819,3.13,2.69,0.44
14,04-20,Premier League,Luton,Brentford,0.3892,0.364,0.2465,+1.5,0.7891,2.92,1.49,1.43
15,04-20,Premier League,Sheffield United,Burnley,0.2191,0.5644,0.2155,+1.5,0.8241,3.16,1.17,2.0
16,04-20,Premier League,Wolverhampton Wanderers,Arsenal,0.0735,0.7723,0.1508,+1.5,0.802,3.01,0.6,2.41
17,04-20,Ligue 1,Nantes,Rennes,0.2668,0.4358,0.2973,+0.5,0.8728,2.06,0.87,1.2
18,04-20,Ligue 1,Lens,Clermont Foot,0.6311,0.1474,0.2208,+1.5,0.73,2.59,1.84,0.75
19,04-20,Serie A,Empoli,Napoli,0.0862,0.7308,0.1816,+1.5,0.7383,2.63,0.55,2.08
20,04-20,Serie A,Verona,Udinese,0.3986,0.305,0.2963,+0.5,0.8797,2.12,1.15,0.97
21,04-21,Serie A,Sassuolo,Lecce,0.4815,0.2642,0.2541,+1.5,0.737,2.62,1.55,1.08
22,04-21,Serie A,Torino,Frosinone,0.6486,0.0974,0.2538,+0.5,0.8512,1.91,1.5,0.4
23,04-21,Serie A,Salernitana,Fiorentina,0.1656,0.5997,0.2342,+1.5,0.714,2.51,0.78,1.73
24,04-21,Serie A,Monza,Atalanta,0.293,0.4687,0.2378,+1.5,0.8006,3.0,1.3,1.7
25,04-21,La Liga,Getafe,Real Sociedad,0.2686,0.4235,0.3079,+0.5,0.8587,1.96,0.83,1.13
26,04-21,La Liga,Almeria,Villarreal,0.166,0.6532,0.1765,+2.5,0.7174,3.72,1.21,2.51
27,04-21,La Liga,Alaves,Atletico Madrid,0.2265,0.507,0.2663,+1.5,0.6772,2.34,0.88,1.46
28,04-21,La Liga,Real Madrid,Barcelona,0.5991,0.1644,0.2361,+1.5,0.707,2.47,1.71,0.76
29,04-21,Premier League,Everton,Nottingham Forest,0.4516,0.2574,0.291,+0.5,0.8794,2.11,1.25,0.87
30,04-21,Premier League,Aston Villa,Bournemouth,0.659,0.1715,0.1588,+3.5,0.6453,4.43,2.93,1.49
31,04-21,Premier League,Crystal Palace,West Ham,0.3603,0.4131,0.2258,+2.5,0.6613,3.41,1.64,1.77
32,04-21,Premier League,Fulham,Liverpool,0.3108,0.4153,0.2739,+1.5,0.6939,2.41,1.1,1.31
33,04-21,Ligue 1,Lille,Strasbourg,0.7587,0.0699,0.1698,+1.5,0.7347,2.61,2.13,0.48
34,04-21,Ligue 1,Reims,Montpellier,0.3691,0.3421,0.2887,+1.5,0.6529,2.23,1.14,1.09
35,04-21,Ligue 1,Le Havre,Metz,0.465,0.2612,0.2737,+1.5,0.6761,2.33,1.37,0.96
36,04-21,Ligue 1,Brest,Monaco,0.5284,0.264,0.2056,+2.5,0.711,3.68,2.18,1.5
37,04-21,Ligue 1,Toulouse,Marseille,0.4347,0.3183,0.2467,+1.5,0.7811,2.87,1.57,1.31
38,04-21,Ligue 1,Paris Saint Germain,Lyon,0.636,0.1738,0.1872,+2.5,0.6784,3.5,2.34,1.15
39,04-21,Bundesliga,Werder Bremen,VfB Stuttgart,0.2329,0.5461,0.22,+1.5,0.8211,3.14,1.2,1.94
40,04-21,Bundesliga,Borussia Dortmund,Bayer Leverkusen,0.1239,0.6945,0.1792,+1.5,0.8194,3.13,0.85,2.28
41,04-21,Bundesliga,Freiburg,Mainz 05,0.6207,0.177,0.2006,+1.5,0.828,3.19,2.14,1.05
42,04-22,Serie A,Roma,Bologna,0.5752,0.1871,0.2373,+1.5,0.7287,2.58,1.72,0.86
43,04-22,Serie A,AC Milan,Inter,0.1859,0.4885,0.3256,+0.5,0.8109,1.67,0.56,1.11
44,04-22,La Liga,Sevilla,Mallorca,0.4877,0.2507,0.2614,+1.5,0.7071,2.47,1.49,0.99
